year,month,State,type_of_connection,value,date,Service_provider
2022,2,Jammu And Kashmir,wireless,5588163.0,01-02-2022,AIRTEL
2010,8,Punjab,wireline,100578.0,01-08-2010,AIRTEL
2023,6,Kerala,wireless,8092740.0,01-06-2023,AIRTEL
2010,11,Gujarat,wireline,60229.0,01-11-2010,TATA TELE
2021,3,Uttar Pradesh (West),wireline,205746.0,01-03-2021,JIO
2015,2,Tamil Nadu,wireless,2648712.0,01-02-2015,HFCL / QUADRANT
2018,5,Uttar Pradesh (East),wireline,363013.0,01-05-2018,BSNL
2019,11,Madhya Pradesh,wireline,14603.0,01-11-2019,TATA TELE
2012,4,West Bengal,wireless,2240039.0,01-04-2012,VODAFONE IDEA
2012,12,Maharashtra,wireless,1116017.0,01-12-2012,AIRCEL
2016,12,Odisha,wireless,10981096.0,01-12-2016,AIRTEL
2024,9,Maharashtra,wireless,5755259.0,01-09-2024,BSNL
2010,4,Mumbai,wireless,5167092.0,01-04-2010,VODAFONE IDEA
2012,12,ALL INDIA,wireline,3455503.0,01-12-2012,MTNL
2012,12,Bihar,wireline,30.0,01-12-2012,VODAFONE IDEA
2016,11,Rajasthan,wireless,6644801.0,01-11-2016,AIRCEL
2014,11,West Bengal,wireline,457121.0,01-11-2014,BSNL
2011,6,Uttar Pradesh (West),wireline,7203.0,01-06-2011,TATA TELE
2011,9,West Bengal,wireless,2696791.0,01-09-2011,TELENOR
2011,10,Kerala,wireless,2382647.0,01-10-2011,TATA TELE
2013,8,Karnataka,wireless,6512018.0,01-08-2013,VODAFONE IDEA
2014,6,Jammu And Kashmir,wireless,398847.0,01-06-2014,VODAFONE IDEA
2017,2,Delhi,wireless,11590370.0,01-02-2017,AIRTEL
2018,2,Assam,wireless,109115808.0,01-02-2018,MTNL
2010,11,Delhi,wireless,3167490.0,01-11-2010,VODAFONE IDEA
2009,9,Uttar Pradesh (East),wireless,2534130.0,01-09-2009,MTNL
2009,6,Haryana,wireline,768.0,01-06-2009,TATA TELE
2010,4,Gujarat,wireline,174667.0,01-04-2010,SISTEMA / MTS
2009,6,Mumbai,wireless,4582141.0,01-06-2009,VODAFONE IDEA
2024,6,Gujarat,wireline,0.0,01-06-2024,OTHERS
2013,7,Uttar Pradesh (East),wireless,4244771.0,01-07-2013,TATA TELE
2012,1,ALL INDIA,wireless,62462121.0,01-01-2012,AIRCEL
2021,1,Odisha,wireline,6.0,01-01-2021,RELIANCE COMMUNICATIONS
2013,12,West Bengal,wireless,1034318.0,01-12-2013,MTNL
2021,4,Kolkata,wireless,11368418.0,01-04-2021,JIO
2021,11,ALL INDIA,wireline,186238.0,01-11-2021,RELIANCE COMMUNICATIONS
2015,11,Assam,wireless,2001270.0,01-11-2015,RELIANCE COMMUNICATIONS
2018,4,Uttar Pradesh (West),wireless,1273517.0,01-04-2018,MTNL
2012,6,North East 1,wireless,79068.0,01-06-2012,TATA TELE
2012,2,Haryana,wireless,2848288.0,01-02-2012,TATA TELE
2024,3,Jammu And Kashmir,wireless,1685818.0,01-03-2024,MTNL
2022,11,Uttar Pradesh (East),wireless,82002.0,01-11-2022,BSNL
2024,12,Kolkata,wireless,10690464.0,01-12-2024,JIO
2019,10,Gujarat,wireless,117259934.0,01-10-2019,BSNL
2009,12,Tamil Nadu,wireless,67675.0,01-12-2009,OTHERS
2014,7,Madhya Pradesh,wireless,3848148.0,01-07-2014,BSNL
2013,1,Karnataka,wireless,1563895.0,01-01-2013,AIRCEL
2009,10,Gujarat,wireline,112648.0,01-10-2009,RELIANCE COMMUNICATIONS
2009,11,Rajasthan,wireline,3491.0,01-11-2009,TATA TELE
2021,6,Tamil Nadu,wireless,51076.0,01-06-2021,BSNL
2012,1,Odisha,wireless,1347034.0,01-01-2012,TELENOR
2024,6,ALL INDIA,wireless,389020497.0,01-06-2024,AIRTEL
2012,11,Uttar Pradesh (West),wireless,0.0,01-11-2012,ETISALAT
2025,2,Jammu And Kashmir,wireless,862014.0,01-02-2025,BSNL
2021,7,West Bengal,wireline,12.0,01-07-2021,RELIANCE COMMUNICATIONS
2016,10,Tamil Nadu,wireless,604280.0,01-10-2016,SISTEMA / MTS
2022,7,Maharashtra,wireless,110634926.0,01-07-2022,BSNL
2017,4,Kolkata,wireless,2646753.0,01-04-2017,VODAFONE IDEA
2011,2,Madhya Pradesh,wireless,229.0,01-02-2011,SISTEMA / MTS
2012,2,Himachal Pradesh,wireless,433969.0,01-02-2012,VODAFONE IDEA
2014,8,North East 1,wireless,843536.0,01-08-2014,RELIANCE COMMUNICATIONS
2020,12,Rajasthan,wireline,4715.0,01-12-2020,RELIANCE COMMUNICATIONS
2015,4,Kolkata,wireless,4881882.0,01-04-2015,VODAFONE IDEA
2018,2,Kolkata,wireless,6183545.0,01-02-2018,VODAFONE IDEA
2019,2,North East 1,wireless,116225169.0,01-02-2019,BSNL
2012,11,Himachal Pradesh,wireline,0.0,01-11-2012,HFCL / QUADRANT
2009,7,Chennai,wireless,2380142.0,01-07-2009,AIRTEL
2014,9,Tamil Nadu,wireline,2126088.0,01-09-2014,BSNL
2016,6,Gujarat,wireline,86541.0,01-06-2016,TATA TELE
